ID,Mesa,Compromiso en el anteproyecto
REC_034,Mesa 5 - Seguridad Hídrica,"a) A 2026, se habrá implementado un indicador, a nivel nacional y a escala de cuenca hidrográfica, que permita hacer seguimiento de la brecha y riesgo hídrico, y avanzar en alcanzar la seguridad hídrica del país."
REC_035,Mesa 5 - Seguridad Hídrica,"b) A 2026 se habrá implementado un sistema de sellos de reconocimiento según el nivel de gestión del consumo de agua a nivel organizacional, a través del programa Huella Chile."
REC_036,Mesa 5 - Seguridad Hídrica,"c) A 2030 se habrá fiscalizado un 95% de los sistemas sanitarios rurales catastrados, asegurando los estándares de calidad de los servicios de agua potable rural."
REC_037,Mesa 5 - Seguridad Hídrica,"d) A 2030, el 100% de las empresas sanitarias tendrán implementado un plan para la gestión del riesgo de desastres, incluyendo aquellos derivados del cambio climático."
REC_038,Mesa 5 - Seguridad Hídrica,"e) A 2030, se habrán completado el 100% de las metas de la Agenda 2030 del sector sanitario."
REC_039,Mesa 5 - Seguridad Hídrica,"f) A 2030, cada proyecto de infraestructura pública para aguas contemplará, en su evaluación, la condición de proteger a la población y territorio (mediante obras fluviales) y/o atender en forma prioritaria las demandas asociadas al consumo humano urbano y/o rural, en su área de influencia."
REC_040,Mesa 5 - Seguridad Hídrica,"g) A 2030, se reducirán al menos en un 25% las pérdidas de agua por concepto del volumen de aguas no facturadas de los sistemas sanitarios."
REC_041,Mesa 6 - Salud,"A3) A 2030, se aumentará la resiliencia del sector Salud frente a las consecuencias del cambio climático, se promoverá la resiliencia climática de los servicios de salud y se avanzará en reducir significativamente la morbilidad y mortalidad relacionadas con el clima, especialmente en las comunidades más vulnerables. Esto considera los siguientes compromisos:"
REC_042,Mesa 6 - Salud,"a) A 2029, Chile contará con una evaluación de los riesgos climáticos en el sector salud para apoyar la actualización de la Estrategia Nacional de Salud de Chile y la actualización del Plan de Adaptación del sector Salud, entre otras políticas públicas asociadas a salud y cambio climático."
REC_043,Mesa 6 - Salud,"b) A 2030, Chile contará con una plataforma del sistema de vigilancia epidemiológica nacional sobre los efectos en salud asociados al cambio climático, que permita monitorear, analizar y alertar sobre los efectos en la salud relacionados con variaciones meteorologicas, tales com temperaturas extremas, asi como de enfermedades vectoriales, enfermedades transmitidas por el agua y los alimentos, así como otros eventos hidro-meteorológicos extremos, proporcionando información clave para apoyar la toma de decisiones en salud pública."
REC_044,Mesa 6 - Salud,"c) A 2035, Chile habrá evaluado e implementado mejoras a la plataforma del sistema de vigilancia epidemiológica nacional respecto a los efectos en salud asociados al cambio climático."
REC_045,Mesa 6 - Salud,"Vínculos entre Salud Física y Mental, Biodiversidad y Clima
"
REC_046,Mesa 7 - Infraestructura,"A4) A 2035, el 50% de la nueva infraestructura pública habrá considerado el cambio climático y sus proyecciones en la fase de diseño de los proyectos de infraestructura hidráulica, vial y de borde costero, para aumentar la resiliencia de la infraestructura y los asentamientos humanos frente a los efectos del cambio climático."
REC_047,Mesa 7 - Infraestructura,"Recomendación a nivel general del capítulo.

Fortalecimiento de la planificación integrada y coordinación interinstitucional
"
REC_048,Mesa 7 - Infraestructura,"Recomendación a nivel general del capítulo.

Desarrollo de Indicadores para la Adaptación Climática
"
REC_049,Mesa 8 - Seguridad Alimentaria,"Contribución A6) 

A 2035, Chile logrará un avance sustantivo en la producción agrícola y de alimentos de la pesca y acuicultura resilientes al clima, así como en el suministro y la distribución de alimentos, aumentando la producción con prácticas sustentables como la agroecología y la agricultura regenerativa, que permitan el acceso equitativo a alimentos saludables y a la nutrición para toda la población."
REC_050,Mesa 8 - Seguridad Alimentaria,"Recomendación a nivel general del capítulo.

Tema: Desarrollo de un sistema alimentario nacional resiliente frente al Cambio Climático"
REC_051,Mesa 8 - Seguridad Alimentaria,"Recomendación a nivel general del capítulo.

Tema: Indicadores para la Seguridad Alimentaria y Cambio Climático"
REC_052,Biodiversidad,"A 2035 se implementará y acelerará el uso de la adaptación basada en los ecosistemas y de las soluciones basadas en la naturaleza, en particular mediante la gestión, mejora, restauración y conservación de los ecosistemas y la biodiversidad, así como mediante la protección de los ecosistemas terrestres, de aguas interiores, de montaña, marinos y costeros."
REC_053,Mesa 9 - Bosques y Turberas,"Contribución I1) 

Chile se compromete al manejo sustentable y recuperación de 200.000 hectáreas de bosques nativos, representando capturas de GEI de alrededor de 0,9 a 1,2 MtCO2eq anuales al año 2030. Adicionalmente, se compromete a monitorear las hectáreas de bosques nativos bajo manejo sustentable, y a aumentarlas desde 2031 en 10.000 hectáreas anuales en promedio, representando capturas de GEI de entre 0,1 y 0,2 MtCO2eq en el 2035."
REC_054,Mesa 9 - Bosques y Turberas,"Contribución I2) 

Forestar 200.000 hectáreas, de las cuales al menos 100.000 hectáreas corresponden a cubierta forestal permanente, con al menos 70.000 hectáreas con especies nativas. La recuperación y forestación se realizará en suelos de aptitud preferentemente forestal y/o en áreas prioritarias de conservación, lo que representará capturas de entre 3,0 a 3,4 MtCO2eq anuales a 2030. Adicionalmente, se compromete a monitorear y mantener las hectáreas forestadas, y a aumentarlas en 5.000 hectáreas anuales en promedio, representando capturas de GEI de alrededor de 0,3 MtCO2eq en el 2035."
REC_055,Mesa 9 - Bosques y Turberas,"Contribución I3) 

Reducir las emisiones del sector forestal por degradación y deforestación del bosque nativo en un 25% a 2030, considerando las emisiones promedio entre el periodo 2001-2013. Adicionalmente, a 2030 Chile habrá fortalecido las capacidades comunitarias para la prevención de incendios forestales a través de información, capacitaciones y guías para líderes comunitarios."
REC_056,Mesa 9 - Bosques y Turberas,"Contribución I4) 

Promover la construcción en madera."
REC_057,Mesa 9 - Bosques y Turberas,"Contribución I5) 

Para asegurar el cumplimiento y el seguimiento anual de estos compromisos se utilizará la Estrategia Nacional de Recursos Vegetacionales y Cambio Climático y otros instrumentos sectoriales apropiados."
REC_058,Mesa 9 - Bosques y Turberas,"Contribución I6) 

A más tardar a 2035, se habrá generado y sistematizado información sobre el uso y la gestión de ecosistemas de turberas y humedales incluidos en el Inventario Nacional de Humedales, con el objetivo de estimar los cambios en la biomasa y el almacenamiento de carbono en estos ecosistemas. Esta información permitirá su integración en los inventarios nacionales de gases de efecto invernadero, fortaleciendo su contabilidad y reporte en el marco del Acuerdo de París. Para lo anterior, se consideran las siguientes acciones:"
REC_059,Mesa 9 - Bosques y Turberas,"Contribución I6 a) 

A 2026, se habrán establecidos los criterios y las prácticas para la restauración y conservación de turberas, cuya aplicación favorecerá el almacenamiento de carbono en las turberas."
REC_060,Mesa 9 - Bosques y Turberas,"Contribución I6 b) 

A 2030, se contará con métricas estandarizadas para la evaluación de la capacidad de adaptación o mitigación al cambio climático de humedales, especialmente turberas, implementando acciones para potenciar estos cobeneficios en cinco sitios pilotos en áreas protegidas públicas o privadas del país."
REC_061,Mesa 10 - Ecosistemas,"Contribución I7) 

Incorporación de 1.000.000 de hectáreas al proceso de restauración, de acuerdo con el Plan Nacional de Restauración a Escala de Paisaje 2030. A 2033, se contará con un plan actualizado que considere la incorporación de 1.500.000 hectáreas de paisajes adicionales al proceso de restauración para 2050, incrementando con esto los esfuerzos realizados hasta la fecha."
REC_062,Mesa 10 - Ecosistemas,"Contribución I8) 

A 2035, se habrán implementado al menos 3 planes de restauración ecológica para la recarga hídrica en cuencas con alto nivel de estrés hídrico con foco en la seguridad hídrica de la población rural y sus medios de subsistencia."
REC_063,Mesa 11 - Oceano,"Contribución I9) 

Se crearán nuevas áreas protegidas en ecorregiones marinas subrepresentadas, tomando en cuenta para la identificación de tales áreas, entre otros, criterios relativos a los efectos del cambio climático y a la construcción de una red de áreas marinas protegidas. 
Adicionalmente, se crearán áreas protegidas en ecosistemas costeros sobre humedales, terrenos fiscales y bienes nacionales de uso público que complementen la red marina, y se ampliará la protección a ecosistemas terrestres relevantes para la conservación. 

En todos los casos, se hará énfasis en la identificación y protección de refugios climáticos, asegurando su resiliencia frente al cambio climático. Esto considera las siguientes acciones:"
REC_064,Mesa 11 - Oceano,"Contribución I9 a) 

A 2030, ampliar en al menos 1.000.000 de hectáreas la actual superficie de protección oficial de ecosistemas terrestres y acuáticos continentales, considerando asimismo en zonas identificadas como refugios climáticos y otras medidas eficaces de conservación (OMEC) basadas en áreas."
REC_065,Mesa 11 - Oceano,"Contribución I9 b) 

A 2030, proteger al menos 10 humedales costeros adicionales a los 20 comprometidos al 2025 como áreas protegidas."
REC_066,Mesa 11 - Oceano,"Contribución I9 c) 

A 2035, al menos un 50% de AMPs priorizadas tienen una gobernanza establecida y estrategias de sostenibilidad financiera."
REC_067,Mesa 11 - Oceano,"Contribución I9 d) 

A 2035, al menos un 50% de AMPs tienen mecanismos de medición de captura de CO2 en ecosistemas marino-costeros, así como evaluación de impactos y medidas de adaptación al cambio climático."
REC_068,Mesa 11 - Oceano,"Contribución I10) 

Todas las áreas protegidas del Estado del Sistema Nacional de Áreas Protegidas, terrestres, marinas y acuáticas creadas a 2025 contarán con su plan de manejo, contemplando en ello acciones de adaptación a los efectos del cambio climático. Esto considera las siguientes acciones:"
REC_069,Mesa 11 - Oceano,"Contribución I10 a) 

A 2025, los planes de manejo de al menos el 40% de las áreas marinas protegidas creadas hasta antes de 2020 serán implementados a través de, al menos, programas de monitoreo, fiscalización, vinculación comunitaria y control de amenazas."
REC_070,Mesa 11 - Oceano,"Contribución I10 b) 

A 2030, el 100% de las áreas marinas protegidas creadas al 2025 contarán con planes de manejo que incluyan acciones para la adaptación al cambio climático."
REC_071,Mesa 11 - Oceano,"Contribución I10 c) 

A 2030, los planes de manejo del 100% de las áreas marinas protegidas creadas hasta antes de 2020 serán implementados, a través de programas de monitoreo, fiscalización, vinculación comunitaria y control de amenazas."
REC_072,Mesa 11 - Oceano,"Contribución I10 d) 

A 2030, se habrá desarrollado y comenzado la implementación de una metodología para la evaluación de efectividad del manejo del 100% de los planes de manejo de áreas marinas protegidas, que permita conocer el avance de las metas propuestas en dichos planes en materia de mitigación y adaptación al cambio climático."
REC_073,Mesa 11 - Oceano,"Contribución I10 e) 

A 2035, los planes de manejo o de administración del 100% de las áreas marinas protegidas creadas hasta antes de 2025 serán implementados, a través de programas de monitoreo, fiscalización, vinculación comunitaria y control de amenazas, potenciando la mitigación y aumentando la resiliencia frente al cambio climático."
REC_074,Mesa 11 - Oceano,"Contribución I11) 

Se evaluarán los co-beneficios que los distintos ecosistemas marinos en áreas marinas protegidas brindan en cuanto a mitigar o adaptarse al cambio climático, y se implementarán acciones para potenciarlos. Esto considera las siguientes acciones:"
REC_075,Mesa 11 - Oceano,"Contribución I11 a) 

A 2025, se desarrollarán métricas estandarizadas para la evaluación de sus capacidades de adaptación o mitigación al cambio climático para 3 áreas marinas protegidas de Chile."
REC_076,Mesa 11 - Oceano,"Contribución I11 b) 

A 2030, se implementarán las métricas desarrolladas para permitir el monitoreo y verificación de capacidades de adaptación o mitigación en al menos 5 áreas marinas protegidas, integrando el fortalecimiento de los co-beneficios en sus planes de manejo."
REC_077,Mesa 12 - Medios de implementación,"MI1) Chile implementará la “Estrategia de Desarrollo de Capacidades y Empoderamiento Climático”, con el objetivo de fortalecer las capacidades sectoriales, nacionales y subnacionales, de las personas y organizaciones tanto públicas como privadas, de la academia y la sociedad civil, que permitan alcanzar las metas de mitigación, adaptación y resiliencia del país. Esto considera las siguientes acciones:"
REC_078,Mesa 12 - Medios de implementación,"a) A 2030, Chile contará con un sistema de monitoreo del progreso en medios de implementación, que informen el impacto de los medios de implementación en las metas de mitigación y adaptación. Esto será parte del capítulo de Medios de Implementación del Reporte de Acción Nacional de Cambio Climático."
REC_079,Mesa 12 - Medios de implementación,"b) A 2027, Chile contará con un Sistema Nacional de Acceso a la Información y Participación Ciudadana sobre Cambio Climático."
REC_080,Mesa 12 - Medios de implementación,"c) A 2028, Chile contará con el Plan de Acción de la Estrategia de Desarrollo de Capacidades y Empoderamiento Climático."
REC_081,Mesa 12 - Medios de implementación,"d) A 2028, Chile contará con un instrumento para medir la percepción del cambio climático de la población en forma periódica, que contribuya al monitoreo de los resultados de la implementación de la Estrategia de Desarrollo de Capacidades y Empoderamiento Climático."
REC_082,Mesa 12 - Medios de implementación,"e) A 2030, Chile habrá implementado un programa de sensibilización y capacitación dirigido al sector público, privado y sociedad civil, en materias climáticas (diseño de IGCC, sistema de monitoreo, reporte y verificación de los IGCC, formulación de proyectos climáticos, financiamiento, metodologías de valoración de capital natural y servicios ecosistémicos, entre otros)."
REC_083,Mesa 12 - Medios de implementación,"MI2) A 2025, se habrán definido el objetivo, alcance, metas y los elementos que conformarán la componente de Desarrollo y Transferencia Tecnológica de la Estrategia Climática de Largo Plazo, de acuerdo con los lineamientos de la LMCC. Se actualizará cada 5 años a partir de los resultados de evaluación y monitoreo. Esto considera las siguientes acciones:"
REC_084,Mesa 12 - Medios de implementación,"a) A 2030, Chile habrá generado, focalizado y vinculado mecanismos e instrumentos de apoyo para el desarrollo y transferencia de tecnología, para los distintos sectores productivos priorizados a nivel nacional y regional, sobre la base de un sistema definido de detección de necesidades."
REC_085,Mesa 12 - Medios de implementación,"b) A 2030, Chile contará con mecanismos e instrumentos de fomento para la adopción de tecnologías existentes a nivel local y mundial."
REC_086,Mesa 12 - Medios de implementación,"c) A 2026, Chile contará con un inventario de Centros de Investigación, iniciativas y proyectos I+D+i asociados a mitigación y adaptación y capacidades para articular el Desarrollo y la Transferencia Tecnológica para el cambio climático."
REC_087,Mesa 12 - Medios de implementación,"d) A 2030, Chile habrá implementado y evaluado el componente de Desarrollo y Transferencia Tecnológica de la Estrategia Climática de Largo Plazo."
REC_088,Mesa 12 - Medios de implementación,"MI3) A 2030, Chile diseñará y desarrollará una estrategia financiera que, siguiendo las disposiciones de la LMCC, incorpore además los compromisos nacionales en materia de biodiversidad, economía circular y transición socioecológica justa. Esto considera las siguientes acciones:"
REC_089,Mesa 12 - Medios de implementación,"a) A 2026, Chile contará con un listado de proyectos de inversión climática asociado al cumplimiento de los Instrumentos de Gestión del Cambio Climático (IGCC) reportados en el programa país nacional ante el FVC."
REC_090,Mesa 12 - Medios de implementación,"b) A 2030, Chile contará con un corredor de financiamiento climático, como mecanismo que permita articular la aceleración y canalización tanto del financiamiento climático como de los procesos de innovación, el desarrollo de capacidades y la transferencia tecnológica de iniciativas climáticas."
REC_091,Mesa 12 - Medios de implementación,"c) A 2030, Chile contará con un repositorio digital abierto para disponer de información de sostenibilidad relevante y proyectos existentes en este ámbito, para apoyar la toma de decisiones de inversionistas."
REC_092,Mesa 12 - Medios de implementación,"d) A 2030, Chile habrá incorporado el análisis del gasto público e inversión climática a proyectos vinculados con la implementación de los compromisos climáticos de los distintos IGCC. Se contará con instancias de revisión y análisis de las mediciones de gasto e inversión climática, para integrarlas a la toma de decisiones en el sector público."
REC_093,Mesa 12 - Medios de implementación,"e) A 2035, Chile incorporará el enfoque de capital natural en la formulación y evaluación de programas y políticas gubernamentales, con especial foco en la implementación de las medidas de los planes sectoriales y regionales."
REC_094,Mesa 12 - Medios de implementación,"f) A 2030, Chile contará con incentivos para el sector privado, y mantendrá instancias de coordinación que apoyen y faciliten el cumplimiento de las normas de divulgación de información en materia de cambio climático y sostenibilidad, incluyendo Pymes."
REC_095,Mesa 13 - Subnacional,"SN1) A 2026, se habrán fortalecido las capacidades y la institucionalidad de cambio climático a nivel regional; se habrá finalizado la elaboración de los PARCC; se habrá iniciado la implementación de acciones de adaptación, mitigación y los medios de implementación necesarios, a través de los planes de acción regionales de cambio climático, en las 16 regiones del país."
REC_096,Mesa 13 - Subnacional,"SN2) Desde 2026, todas las regiones del país que actualicen los Planes Regionales de Reducción del Riesgo de Desastres habrán incorporado acciones de adaptación al cambio climático, en comunicación y/o coordinación con los Comités Regionales de Cambio Climático."
REC_097,Mesa 13 - Subnacional,"SN3) Desde 2026, los planes de descontaminación y/o prevención atmosférica deberán contribuir a la reducción de GEI."
REC_098,Mesa 13 - Subnacional,"SN4) A 2026, se habrán elaborado Planes de Acción Comunal de Cambio Climático en todas las comunas del país."
REC_099,Mesa 13 - Subnacional,"SN5) A 2026, Chile contará con una red de articulación de financiamiento climático subnacional activa y con planes de acción macrozonales, a través del Grupo de Acción para el Financiamiento Climático Comunal y Regional."
REC_100,Mesa 13 - Subnacional,"SN6) A 2030, se habrán elaborado Planes Estratégicos de Cuenca para Gestión de Recursos Hídricos en 101 cuencas del país."
REC_101,Mesa 13 - Subnacional,"SN7) A 2030, el Ministerio del Medio Ambiente elaborará una herramienta comunal de Huella Chile que proveerá una estimación de los inventarios comunales de gases de efecto invernadero para todos los municipios del país."
REC_102,Mesa 13 - Subnacional,"SN8) Chile fortalecerá la generación de capacidades subnacionales mediante la creación de un programa de formación técnica e institucional para los gobiernos regionales en áreas de cambio climático, gestión de riesgos y financiamiento climático, que contemple acceso a herramientas tecnológicas y metodologías para el desarrollo e implementación de las acciones climáticas."
